_unit_id,relevance,product_price,product_title,category,rank,company,,,,,,
711158459,3.67,$329.98,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,1,eBay,,,,,,
711158460,4,$324.84,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,2,eBay,,,,,,
711158461,4,$324.83,Sony PlayStation 4 PS4 500 GB Jet Black Console,playstation 4,3,eBay,,,,,,
711158462,3.67,$350.00,Sony - PlayStation 4 500GB The Last of Us Remastered Bundle - Black,playstation 4,4,eBay,,,,,,
711158463,3.33,$308.00-$319.99,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,5,eBay,,,,,,
711158464,3.2,$310.00,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,6,eBay,,,,,,
711158465,4,$910.00,BRAND NEW Sony PlayStation 4 BUNDLE 500gb,playstation 4,7,eBay,,,,,,
711158466,4,$299.99,Sony PlayStation 4 500GB, Dualshock Wireless Control, HDMI Gaming Console Refurb,playstation 4,8,eBay,,,,,,
711158467,3.75,$350.00,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console w/ 2 Controllers,playstation 4,9,eBay,,,,,,
711158468,2.33,$469.97,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console *NEW*,playstation 4,10,eBay,,,,,,
711158469,4,$390.00,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console..wth Mortal Kombat X,playstation 4,11,eBay,,,,,,
711158470,4,$289.99,Genuine SONY PS4 Playstation 4 500GB Gaming Console - Black,playstation 4,12,eBay,,,,,,
711158471,3.33,$443.60,[Sony] Playstation 4 PS4 Video Game Console Black - Latest Model,playstation 4,13,eBay,,,,,,
711158472,3,$349.99,Sony PlayStation 4 (Latest Model) 500 GB Jet Black Console,playstation 4,14,eBay,,,,,,
711158473,3.4,$285.00,Sony PlayStation 4 - 500 GB Jet Black Console - WITH LAST OF US REMASTERED,playstation 4,15,eBay,,,,,,
711158474,4,$399.99,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,16,eBay,,,,,,
711158475,2.8,$285.00,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,17,eBay,,,,,,
711158476,4,$340.00,Sony PlayStation 4 - 500 GB Jet Black Console (3 controllers,3 games included),playstation 4,18,eBay,,,,,,
711158477,3,$389.99,Sony PlayStation 4 500GB Console with 2 Controllers,playstation 4,19,eBay,,,,,,
711158478,2.33,$399.99,Sony - PlayStation 4 500GB The Last of Us Remastered Bundle - Black,playstation 4,20,eBay,,,,,,
711158479,4,$380.00,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,21,eBay,,,,,,
711158480,4,$360.00,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,22,eBay,,,,,,
711158481,4,$285.00,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console*,playstation 4,23,eBay,,,,,,
711158482,4,$315.00,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,24,eBay,,,,,,
711158483,4,$467.20,[Sony] Playstation 4 PS4 1105A Video Game Console 500GB White - Latest Model,playstation 4,25,eBay,,,,,,
711158484,4,$8.99,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream  5ml,eye cream,1,eBay,,,,,,
711158485,3.4,$49.72,Obagi Elastiderm Eye Treatment Cream 0.5 oz / 15g Authentic NiB Sealed [5],eye cream,2,eBay,,,,,,
711158486,4,$28.79,Lancome Renergie Eye Anti-Wrinkle & Firming Eye Cream 0.5oz New,eye cream,3,eBay,,,,,,
711158487,3.75,$19.79,OZ Naturals - The BEST Eye Gel - Eye Cream For Dark Circles Puffiness and,eye cream,4,eBay,,,,,,
711158488,4,$49.00,Elastiderm Eye Cream (0.5oz/15g),eye cream,5,eBay,,,,,,
711158489,4,$8.96-$12.75,new CLINIQUE Repairwear Laser Focus Wrinkle Correcting Eye Cream 0.17 oz/ 5 ml,eye cream,6,eBay,,,,,,
711158490,4,$29.00,NIB Full Size Dermalogica Multivitamin Power Firm Eye Cream,eye cream,7,eBay,,,,,,
711158491,4,$5.89,24K Gold Collagen Anti-Dark Circles Anti-Aging Bio Essence Repairing Eye Cream,eye cream,8,eBay,,,,,,
711158492,3.67,$34.99,Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream Full Size .5oz 15mL,eye cream,9,eBay,,,,,,
